X,Y,OBJECTID,Name_e,Nom_f,Noms_Alt_Names,Description,Min_Scale_Echelle,Max_Scale_Echelle,CONCISCODE
-12895328.8995591,6745613.50178049,37,Mount Tyrrell,Mont Tyrrell,,,100000,100,Mountain//Mont
-12771166.1741447,6676064.42179332,38,Ranche Hill,Ranche Hill,,,100000,100,Mountain//Mont
-12787706.2858533,6689002.70664252,39,Salter Ridge,Salter Ridge,,,100000,100,Mountain//Mont
-12772293.1776626,6672975.31101219,40,McDonald Hills,McDonald Hills,,,100000,100,Mountain//Mont
-12769538.5782057,6706827.03033969,41,Mayme Coulée,Mayme Coulée,,,100000,100,Mountain//Mont
-12877358.1643701,6659412.38969472,42,Mount Louis,Mont Louis,,,100000,100,Mountain//Mont
-12911753.9226224,6644111.2950616,43,Ball Pass,Col Ball,,,100000,100,Valley//Vallée
-12909209.0159824,6643959.37357309,44,Ball Range,Chaîne Ball,,,100000,100,Mountain//Mont
-12894432.758358,6636231.52988174,45,Simpson Pass,Col Simpson,,,100000,100,Valley//Vallée
-12817576.3781865,6636764.71696332,46,Door Jamb Mountain,Door Jamb Mont,,,100000,100,Mountain//Mont
-12815733.7272377,6653307.07898859,47,Association Peak,Association Peak,,,100000,100,Mountain//Mont
-12843711.538003,6658565.70133313,48,Mount Peechee,Mont Peechee,,,100000,100,Mountain//Mont
-12845241.7292758,6630697.6258187,49,Mount Lawrence Grassi,Mont Lawrence Grassi,,,100000,100,Mountain//Mont
-12812219.1259612,6629146.31172251,50,Jewell Pass,Jewell Pass,,,100000,100,Valley//Vallée
-12826734.2429948,6662342.20572463,51,Saddle Peak,Sommet Saddle,,,100000,100,Mountain//Mont
-12915993.761237,6776488.41693642,52,Indian Lookout,Belvédère Indian,,,100000,100,Mountain//Mont
-12931757.578802,6800114.69945145,53,Ram Range,Ram Range,,,100000,100,Mountain//Mont
-12874169.5801017,6598259.77231208,54,Mount Assiniboine,Mont Assiniboine,,,100000,100,Mountain//Mont
-12864960.8880226,6605668.8263665,55,Gibraltar Rock,Rocher Gibraltar,,,100000,100,Mountain//Mont
-12802292.8506027,6565695.70458777,56,Tombstone Mountain,Tombstone Mont,,,100000,100,Mountain//Mont
-12826198.4481263,6541389.71623548,57,Mangin Glacier,Mangin Glacier,,,100000,100,Mountain//Mont
-12828861.9119139,6567416.94680769,58,Mount Black Prince,Mount Black Prince,,,100000,100,Mountain//Mont
-12767137.9865602,6576146.7398937,59,Allsmoke Mountain,Allsmoke Mont,,,100000,100,Mountain//Mont
-12783585.9322666,6549153.61588307,60,Gibraltar Mountain,Gibraltar Mont,,,100000,100,Mountain//Mont
-12792579.4971899,6571616.18678266,61,Banded Peak,Banded Peak,,,100000,100,Mountain//Mont
-12799779.3936764,6551370.22889152,62,Highwood Pass,Highwood Pass,,,100000,100,Valley//Vallée
-12743884.0510556,6490330.05844572,63,Sentinel Peak,Sentinel Peak,,,100000,100,Mountain//Mont
-12824868.7587672,6583109.36978921,64,Mount Inflexible,Mount Inflexible,,,100000,100,Mountain//Mont
-12834173.3209197,6619257.78358091,65,Windtower,Windtower,,,100000,100,Mountain//Mont
-12853306.3261973,6601843.02769964,66,Cone Mountain,Mont Cone,,,100000,100,Mountain//Mont
-12837991.9629191,6580816.5321305,67,Mount Burstall,Mont Burstall,,,100000,100,Mountain//Mont
-12823002.1082179,6580001.86285971,68,Mount Lawson,Mount Lawson,,,100000,100,Mountain//Mont
-12850410.0160392,6578303.32822015,69,Mount Leval,Mont Leval,,,100000,100,Mountain//Mont
-12788032.6186729,6522838.19871658,70,Mount Bishop,Mount Bishop,,,100000,100,Mountain//Mont
-12754150.1595218,6370019.90974531,71,Mount Coulthard,Mount Coulthard,,,100000,100,Mountain//Mont
-12748920.8587729,6388937.78131572,72,Wedge Mountain,Wedge Mont,,,100000,100,Mountain//Mont
-12985251.4568868,6813852.78139424,73,Resolute Mountain,Resolute Mont,,,100000,100,Mountain//Mont
-12892509.5978108,6757184.59361515,74,Tomahawk Mountain,Mont Tomahawk,,,100000,100,Mountain//Mont
-12830117.5121809,6737656.24786929,75,Hunter Valley,Hunter Valley,,,100000,100,Mountain//Mont
-12780181.600218,6601507.54628815,76,Prairie Mountain,Prairie Mont,,,100000,100,Mountain//Mont
-12795973.7013989,6600193.43514722,77,Compression Ridge,Compression Ridge,,,100000,100,Mountain//Mont
-12790808.1118988,6619797.06395461,78,Cox Hill,Cox Hill,,,100000,100,Mountain//Mont
-12732369.3956216,6372076.71459592,79,Hillcrest Mines,Hillcrest Mines,,,100000,100,Miscellaneous site//Site - divers
-12725059.9700466,6431437.39285721,80,Miles Coulée,Miles Coulée,,,100000,100,Mountain//Mont
-12713490.1531846,6421870.31216368,81,Eagle Coulée,Eagle Coulée,,,100000,100,Mountain//Mont
-12753143.4310709,6432722.16766039,82,Grassy Ridge,Grassy Ridge,,,100000,100,Mountain//Mont
-12978029.9876206,6910063.42313808,83,Blackstone Gap,Blackstone Gap,,,100000,100,Mountain//Mont
-13018338.0469639,6862039.92335178,84,Mount McDonald,Mount McDonald,,,100000,100,Mountain//Mont
-13022939.0863496,6854541.36979827,85,Afternoon Peak,Afternoon Peak,,,100000,100,Mountain//Mont
-12948751.0910928,6816361.81619966,86,Mount William Booth,Mount William Booth,,,100000,100,Mountain//Mont
-12876232.9278156,6712418.48959825,87,Panther Mountain,Mont Panther,,,100000,100,Mountain//Mont
-12876240.8907717,6745086.92752091,88,Warden Rock,Rocher Warden,,,100000,100,Mountain//Mont
-12864571.2331248,6729741.6592081,89,Dormer Mountain,Mont Dormer,,,100000,100,Mountain//Mont
-12848391.7550831,6673608.6168775,90,Aylmer Canyon,Canyon Aylmer,,,100000,100,Canyon
-12887688.6812992,6701027.17137395,91,Vermilion Range,Chaîne Vermilion,,,100000,100,Mountain//Mont
-12864345.2483647,6639499.36212769,92,Sundance Pass,Col Sundance,,,100000,100,Valley//Vallée
-12883043.7030932,6636292.74287394,93,Mount Howard Douglas,Mont Howard Douglas,,,100000,100,Mountain//Mont
-12874727.2062458,6664796.74132128,94,Mount Brewster,Mont Brewster,,,100000,100,Mountain//Mont
-12872413.5624262,6656849.88961698,95,Mount Norquay,Mont Norquay,,,100000,100,Mountain//Mont
-12846270.4923338,6632628.25805196,96,Chinamans Peak,Sommet Chinamans,,,100000,100,Mountain//Mont
-12848670.2511704,6664273.75291982,97,Mount Inglismaldie,Mont Inglismaldie,,,100000,100,Mountain//Mont
-12821031.5321941,6665516.93014506,98,Orient Point,Point Orient,,,100000,100,Mountain//Mont
-12963958.0465322,6790614.40756076,99,Mount Peskett,Mount Peskett,,,100000,100,Mountain//Mont
-12927730.3750771,6769441.31064298,100,Mount Malloch,Mont Malloch,,,100000,100,Mountain//Mont
-12958576.9442414,6787692.24531393,101,Siffleur Mountain,Siffleur Mont,,,100000,100,Mountain//Mont
-12873964.8436375,6597428.00336202,102,Lunette Peak,Sommet Lunette,,,100000,100,Mountain//Mont
-12826520.1904916,6551400.46191324,103,Mount Lyautey,Mount Lyautey,,,100000,100,Mountain//Mont
-12817138.6511494,6556634.072632,104,Kananaskis Interlakes Powerhouse,Kananaskis Interlakes Powerhouse,,,100000,100,Miscellaneous site//Site - divers
-12810244.1014104,6564032.72560047,105,Opal Falls,Opal Falls,,,100000,100,Falls//Chute
-12809825.8466397,6572679.45543226,106,Opal Range,Opal Range,,,100000,100,Mountain//Mont
-12834020.8624872,6574058.7583974,107,Mount Smith-Dorrien,Mont Smith-Dorrien,,,100000,100,Mountain//Mont
-12835637.1185563,6573673.66493293,108,Mount French,Mont French,,,100000,100,Mountain//Mont
-12804737.5375543,6562242.93364517,109,Elpoca Mountain,Elpoca Mont,,,100000,100,Mountain//Mont
-12798934.0875994,6554851.4830627,110,Mount Rae,Mount Rae,,,100000,100,Mountain//Mont
-12798123.6863217,6552142.06358138,111,Mount Arethusa,Mount Arethusa,,,100000,100,Mountain//Mont
-12780165.2884999,6562521.15341394,112,Bluerock Mountain,Bluerock Mont,,,100000,100,Mountain//Mont
-12745977.0805001,6468413.38546734,113,Isola Peak,Isola Peak,,,100000,100,Mountain//Mont
-12699742.0596038,6453719.70680412,114,Minor Coulée,Minor Coulée,,,100000,100,Mountain//Mont
-12693006.9121839,6450676.57458507,115,Wager Coulée,Wager Coulée,,,100000,100,Mountain//Mont
-12739777.4827831,6464083.2230465,116,Livingstone Falls,Livingstone Falls,,,100000,100,Falls//Chute
-13026982.8817955,6839918.24927251,117,Cataract Pass,Cataract Pass,,,100000,100,Valley//Vallée
-12816722.2638764,6594747.56176924,118,The Wedge,The Wedge,,,100000,100,Mountain//Mont
-12818144.8650848,6612103.6831359,119,Troll Falls,Troll Falls,,,100000,100,Falls//Chute
-12831050.8194709,6587251.96303354,120,Mount Chester,Mount Chester,,,100000,100,Mountain//Mont
-12812410.8940198,6579996.39915583,121,Mount Evan-Thomas,Mount Evan-Thomas,,,100000,100,Mountain//Mont
-12856538.8332454,6586520.19015832,122,Mount Currie,Mont Currie,,,100000,100,Mountain//Mont
-12811851.1117712,6577827.80636008,123,Mount Packenham,Mount Packenham,,,100000,100,Mountain//Mont
-12785537.4214602,6515408.87851544,124,Weary Creek Gap,Weary Creek Gap,,,100000,100,Mountain//Mont
-12774927.1109487,6493456.90139661,125,Mount Etherington,Mount Etherington,,,100000,100,Mountain//Mont
-12748780.6529031,6496678.4560898,126,Mount Burke,Mount Burke,,,100000,100,Mountain//Mont
-12770504.4085142,6373959.57210367,127,Tent Mountain Pass,Tent Mont Pass,,,100000,100,Valley//Vallée
-12996156.5701972,6825153.70389311,128,Minster Mountain,Minster Mont,,,100000,100,Mountain//Mont
-12985144.7581356,6813077.13292783,129,Lioness Peak,Lioness Peak,,,100000,100,Mountain//Mont
-12793917.7524197,6596407.73051533,130,Nihahi Ridge,Nihahi Ridge,,,100000,100,Mountain//Mont
-12798177.8495566,6589775.41630077,131,Mount Fullerton,Mount Fullerton,,,100000,100,Mountain//Mont
-12799948.9521222,6594622.75916693,132,Mount Howard,Mount Howard,,,100000,100,Mountain//Mont
-12778524.2436503,6577653.94299193,133,Forgetmenot Ridge,Forgetmenot Ridge,,,100000,100,Mountain//Mont
-12726587.8987541,6377703.77476248,134,Robertson Peak,Robertson Peak,,,100000,100,Mountain//Mont
-12736661.0580573,6381377.07439915,135,Blairmore Range,Blairmore Range,,,100000,100,Mountain//Mont
-12738147.8114902,6395910.36942421,136,Grassy Mountain,Grassy Mont,,,100000,100,Mountain//Mont
-12723455.0221996,6437502.72295101,137,Jackknife Coulée,Jackknife Coulée,,,100000,100,Mountain//Mont
-12761239.4707715,6403789.23201568,138,Mount Ward,Mount Ward,,,100000,100,Mountain//Mont
-12760659.422719,6409005.22763364,139,High Rock Range,High Rock Range,,,100000,100,Mountain//Mont
-13017478.6439493,6867689.34329687,140,Longview Mountain,Longview Mont,,,100000,100,Mountain//Mont
-12997357.8395429,6863938.16954478,141,Job Pass,Job Pass,,,100000,100,Valley//Vallée
-12771438.2282952,6681013.49085592,142,Reserve Hill,Reserve Hill,,,100000,100,Mountain//Mont
-12839962.1946276,6675263.39817179,143,Pakakos Mountain,Mont Pakakos,,,100000,100,Mountain//Mont
-12852680.858276,6686546.30107904,144,Apparition Mountain,Mont Apparition,,,100000,100,Mountain//Mont
-12858674.8503887,6672247.42279733,145,Stewart Canyon,Canyon Stewart,,,100000,100,Canyon
-12881679.6997391,6624412.94594626,146,Citadel Peak,Sommet Citadel,,,100000,100,Mountain//Mont
-12876673.6596397,6658743.19061775,147,Gargoyle Valley,Vallée Gargoyle,,,100000,100,Mountain//Mont
-12879390.5625965,6660057.41303811,148,Mount Fifi,Mont Fifi,,,100000,100,Mountain//Mont
-12900281.8708508,6658439.72866873,149,Copper Mountain,Mont Copper,,,100000,100,Mountain//Mont
-12895001.2185527,6653535.09074538,150,Massive Range,Chaîne Massive,,,100000,100,Mountain//Mont
-12875545.1639455,6656993.92528307,151,Mount Edith,Mont Edith,,,100000,100,Mountain//Mont
-12889099.6973691,6633954.1467828,152,Standish Ridge,Crête Standish,,,100000,100,Mountain//Mont
-12863467.5964199,6652650.25696731,153,Tunnel Mountain,Mont Tunnel,,,100000,100,Mountain//Mont
-12847316.8910756,6633686.4818106,154,North Whiteman's Dam,North Whiteman's Dam,,,100000,100,Hydraulic construction//Construction hydraulique
-12829763.3756332,6626852.11928381,155,Upper Spray Falls,Upper Spray Falls,,,100000,100,Falls//Chute
-12808657.5985583,6638578.54132913,156,Kananaskis Dam,Kananaskis Dam,,,100000,100,Hydraulic construction//Construction hydraulique
-12854066.0408423,6643354.59057561,157,Mount Rundle,Mont Rundle,,,100000,100,Mountain//Mont
-12805724.3197793,6642138.41318155,158,Horseshoe Dam,Horseshoe Dam,,,100000,100,Hydraulic construction//Construction hydraulique
-12913749.5169052,6648907.77517989,159,Mount Ball,Mont Ball,,,100000,100,Mountain//Mont
-12791008.5707636,6660520.64904822,160,Mount Pringle,Mount Pringle,,,100000,100,Mountain//Mont
-12937163.1668651,6759341.39922763,161,Mount Harris,Mont Harris,,,100000,100,Mountain//Mont
-12916470.9685935,6781708.16086719,162,Wampum Peak,Sommet Wampum,,,100000,100,Mountain//Mont
-12946463.6323642,6767212.63735965,163,Recondite Peak,Sommet Recondite,,,100000,100,Mountain//Mont
-12866092.8803584,6593486.54018593,164,Marvel Pass,Col Marvel,,,100000,100,Valley//Vallée
-12867833.7358814,6602150.88755769,165,Wonder Pass,Col Wonder,,,100000,100,Valley//Vallée
-12869853.735222,6614038.98311145,166,Og Mountain,Mont Og,,,100000,100,Mountain//Mont
-12876401.0910493,6621227.81124945,167,Golden Mountain,Mont Golden,,,100000,100,Mountain//Mont
-12802896.542186,6556521.67175555,168,Elbow Pass,Elbow Pass,,,100000,100,Valley//Vallée
-12823148.9546846,6562587.88497707,169,Mount Invincible,Mount Invincible,,,100000,100,Mountain//Mont
-12824050.3920162,6543860.59989227,170,Mount Marlborough,Mount Marlborough,,,100000,100,Mountain//Mont
-12810738.0017083,6567539.45118454,171,Mount Wintour,Mount Wintour,,,100000,100,Mountain//Mont
-12833875.3546726,6570928.74758069,172,Mount Jellicoe,Mont Jellicoe,,,100000,100,Mountain//Mont
-12835517.1600274,6570712.14880068,173,Haig Glacier,Glacier Haig,,,100000,100,Mountain//Mont
-12837547.3552039,6573326.73812576,174,Mount Robertson,Mont Robertson,,,100000,100,Mountain//Mont
-12764071.0295391,6561517.0203107,175,Missinglink Mountain,Missinglink Mont,,,100000,100,Mountain//Mont
-12752714.8257097,6556253.05104466,176,Mount McNab,Mount McNab,,,100000,100,Mountain//Mont
-12742331.143269,6491954.65593146,177,Livingstone Range,Livingstone Range,,,100000,100,Mountain//Mont
-12773719.1996913,6483572.13771486,178,Mount Farquhar,Mount Farquhar,,,100000,100,Mountain//Mont
-12768745.1981648,6461872.84584221,179,Mount Lyall,Mount Lyall,,,100000,100,Mountain//Mont
-12764169.8468703,6457618.99868458,180,Beehive Mountain,Beehive Mont,,,100000,100,Mountain//Mont
-12738003.2829905,6455507.06913841,181,Livingstone Airfield,Livingstone Airfield,,,100000,100,Miscellaneous site//Site - divers
-12744525.2428557,6488586.92926997,182,Sentinel Pass,Sentinel Pass,,,100000,100,Valley//Vallée
-12735493.483855,6469771.12470503,183,Mount Livingstone,Mount Livingstone,,,100000,100,Mountain//Mont
-12724763.7161868,6456959.12864594,184,Chaffen Ridge,Chaffen Ridge,,,100000,100,Mountain//Mont
-12712353.0150717,6447949.93840881,185,Breeding Valley,Breeding Valley,,,100000,100,Mountain//Mont
-12690964.9614255,6458513.96514655,186,Chandler Coulée,Chandler Coulée,,,100000,100,Mountain//Mont
-12836350.8188263,6597417.7905612,187,Mount Engadine,Mount Engadine,,,100000,100,Mountain//Mont
-12832208.1178452,6592986.13474707,188,Mount Galatea,Mount Galatea,,,100000,100,Mountain//Mont
-12826802.5689839,6614028.8364663,189,Mount Allan,Mount Allan,,,100000,100,Mountain//Mont
-12808037.5589962,6603209.40738943,190,Mount McDougall,Mount McDougall,,,100000,100,Mountain//Mont
-12851899.1156528,6580457.20581237,191,Mount Vavasour,Mont Vavasour,,,100000,100,Mountain//Mont
-12762775.257445,6522907.28546428,192,Mount Head,Mount Head,,,100000,100,Mountain//Mont
-12786966.2789525,6521204.15548156,193,Elk Range,Elk Range,,,100000,100,Mountain//Mont
-12761629.6110258,6384462.90559531,194,Crowsnest Ridge,Crowsnest Ridge,,,100000,100,Mountain//Mont
-12763526.0702063,6395185.68956969,195,Deadman Pass,Deadman Pass,,,100000,100,Valley//Vallée
-12760858.7100845,6377046.84957424,196,Sentry Mountain,Sentry Mont,,,100000,100,Mountain//Mont
-12773963.825684,6379011.01060289,197,Loop Ridge,Loop Ridge,,,100000,100,Mountain//Mont
-12771292.0110254,6375880.35971584,198,Trail Hill,Trail Hill,,,100000,100,Mountain//Mont
-12917708.7034,6882263.91206738,199,Brazeau Range,Brazeau Range,,,100000,100,Mountain//Mont
-12970578.7642654,6830320.01223353,200,Coral Creek Canyon,Coral Creek Canyon,,,100000,100,Canyon
-13020802.2322002,6828645.40510947,201,Huntington Glacier,Huntington Glacier,,,100000,100,Glacier//Glacier
-12989014.7637237,6812780.79755282,202,Mount Cline,Mount Cline,,,100000,100,Mountain//Mont
-12835450.7524049,6798843.20283513,203,Corkscrew Mountain,Corkscrew Mont,,,100000,100,Mountain//Mont
-12823593.9758439,6755867.77392043,204,Great West Ridge,Great West Ridge,,,100000,100,Mountain//Mont
-12910780.8193382,6768283.38315742,205,Mount Peters,Mont Peters,,,100000,100,Mountain//Mont
-12790005.1333017,6713477.08334904,206,Olson Ridge,Olson Ridge,,,100000,100,Mountain//Mont
-12925506.9783289,6666472.41209608,207,Bow Range,Chaîne Bow,,,100000,100,Mountain//Mont
-12761723.8363279,6600059.1265086,208,McLean Hill,McLean Hill,,,100000,100,Mountain//Mont
-12798575.6520921,6585060.18820903,209,Mount Remus,Mount Remus,,,100000,100,Mountain//Mont
-12777630.8830789,6577603.45182619,210,Forgetmenot Mountain,Forgetmenot Mont,,,100000,100,Mountain//Mont
-12766642.9763279,6427153.40717738,211,Mount Erris,Mount Erris,,,100000,100,Mountain//Mont
-12765354.6320465,6440470.53481318,212,Tornado Pass,Tornado Pass,,,100000,100,Valley//Vallée
-12762145.3162818,6406698.16381249,213,Racehorse Pass,Racehorse Pass,,,100000,100,Valley//Vallée
-12965902.7561086,6823318.02860413,214,Elliott Peak,Elliott Peak,,,100000,100,Mountain//Mont
-12831232.0065729,6682542.31749063,215,Devils Head,Devils Head,,,100000,100,Mountain//Mont
-12832863.0991031,6672336.40325035,216,Mount Costigan,Mont Costigan,,,100000,100,Mountain//Mont
-12852440.1038227,6677759.18631956,217,Aylmer Pass,Aylmer Pass,,,100000,100,Valley//Vallée
-12880856.9767339,6695501.60467297,218,Flints Park,Flints Park,,,100000,100,Mountain//Mont
-12905600.9226948,6679957.1733144,219,Helena Ridge,Crête Helena,,,100000,100,Mountain//Mont
-12857766.6478216,6634350.67823736,220,Goat Range,Chaîne Goat,,,100000,100,Mountain//Mont
-12888094.998773,6644717.5552409,221,Mount Bourgeau,Mont Bourgeau,,,100000,100,Mountain//Mont
-12893604.2114023,6654745.76441127,222,Pilot Mountain,Mont Pilot,,,100000,100,Mountain//Mont
-12861396.2024412,6640195.17775154,223,Sulphur Mountain,Mont Sulphur,,,100000,100,Mountain//Mont
-12883890.1025024,6640614.53177527,224,Goat's Eye,Goat's Eye,,,100000,100,Cave//Caverne
-12838925.7458045,6648895.12675735,225,Mount Charles Stewart,Mont Charles Stewart,,,100000,100,Mountain//Mont
-12835982.7319898,6634938.77979566,226,Indian Flat,Indian Flat,,,100000,100,Mountain//Mont
-12842742.5981551,6649494.95508338,227,Princess Margaret Mountain,Mont Princess Margaret,,,100000,100,Mountain//Mont
-12848258.196557,6657543.44126943,228,Fairholme Range,Chaîne Fairholme,,,100000,100,Mountain//Mont
-12820062.1722869,6624893.29548656,229,Mount McGillivray,Mount McGillivray,,,100000,100,Mountain//Mont
-12805724.3197793,6642138.41318155,230,Horseshoe Falls,Horseshoe Falls,,,100000,100,Falls//Chute
-12846596.499695,6663261.40968341,231,Mount Girouard,Mont Girouard,,,100000,100,Mountain//Mont
-12807188.8153958,6623399.89459895,232,Mount Baldy,Mount Baldy,,,100000,100,Mountain//Mont
-12927671.6592903,6748438.38926137,233,Dip Slope Mountain,Mont Dip Slope,,,100000,100,Mountain//Mont
-12769503.3994702,6638169.08527418,234,Darnell Ridge,Darnell Ridge,,,100000,100,Mountain//Mont
-12936747.8247888,6771400.28430758,235,Icefall Mountain,Mont Icefall,,,100000,100,Mountain//Mont
-12869991.7960046,6614370.63847246,236,Windy Ridge,Crête Windy,,,100000,100,Mountain//Mont
-12830402.5537494,6558460.41462814,237,Mount Putnik,Mount Putnik,,,100000,100,Mountain//Mont
-12834759.9015478,6555482.38427885,238,Mount Worthington,Mount Worthington,,,100000,100,Mountain//Mont
-12824051.0391506,6549030.10984429,239,Fossil Falls,Fossil Falls,,,100000,100,Falls//Chute
-12811351.0947949,6547437.02481952,240,West Elk Pass,West Elk Pass,,,100000,100,Valley//Vallée
-12807730.0419556,6560701.8692707,241,Gap Mountain,Gap Mont,,,100000,100,Mountain//Mont
-12807271.5400045,6568564.54731413,242,Mount Jerram,Mount Jerram,,,100000,100,Mountain//Mont
-12827613.4874745,6542079.08783919,243,Mount Cordonnier,Mount Cordonnier,,,100000,100,Mountain//Mont
-12782408.6279801,6569570.98266426,244,Threepoint Mountain,Threepoint Mont,,,100000,100,Mountain//Mont
-12702945.9246361,6468349.83992528,245,Squaw Coulée,Squaw Coulée,,,100000,100,Mountain//Mont
-12826885.2211466,6607018.06867487,246,Mount Bogart,Mount Bogart,,,100000,100,Mountain//Mont
-12828663.8594844,6590960.47289277,247,The Fortress,The Fortress,,,100000,100,Mountain//Mont
-12843597.3257179,6602131.39268125,248,Canyon Dam,Canyon Dam,,,100000,100,Hydraulic construction//Construction hydraulique
-12854912.9336973,6595529.07875548,249,Mount Turner,Mont Turner,,,100000,100,Mountain//Mont
-12843572.9074098,6579306.20881192,250,Burstall Pass,Col Burstall,,,100000,100,Valley//Vallée
-12777483.0099873,6502507.39429037,251,Fording Pass,Fording Pass,,,100000,100,Valley//Vallée
-12786286.1634301,6517265.36391677,252,Mount McPhail,Mount McPhail,,,100000,100,Mountain//Mont
-12767015.5686867,6369753.21061392,253,Ptolemy Pass,Ptolemy Pass,,,100000,100,Valley//Vallée
-12762378.2599716,6388535.99598949,254,Mount Tecumseh,Mount Tecumseh,,,100000,100,Mountain//Mont
-12755846.1636396,6373020.68122776,255,Mount Parrish,Mount Parrish,,,100000,100,Mountain//Mont
-12753625.5109091,6374405.40130129,256,Mount McLaren,Mount McLaren,,,100000,100,Mountain//Mont
-12750068.7107721,6386016.172535,257,Iron Ridge,Iron Ridge,,,100000,100,Mountain//Mont
-12748842.3587147,6399686.27631467,258,Ma Butte,Ma Butte,,,100000,100,Mountain//Mont
-12971108.0124946,6827802.90601498,259,Cline River Canyon,Cline River Canyon,,,100000,100,Canyon
-12796189.3631284,6760262.85215517,260,Stafne Ridge,Stafne Ridge,,,100000,100,Mountain//Mont
-12811731.424459,6771965.2953381,261,Old Baldy Mountain,Old Baldy Mont,,,100000,100,Mountain//Mont
-12886248.6627688,6778239.90754365,262,Rocky Mountains,Rocky Monts,,,100000,100,Mountain//Mont
-12826948.5709146,6746238.91595695,263,Blue Hill,Blue Hill,,,100000,100,Mountain//Mont
-12851233.3877203,6751431.2321407,264,James Pass,James Pass,,,100000,100,Valley//Vallée
-12854484.0852259,6744897.45410781,265,Labyrinth Mountain,Labyrinth Mont,,,100000,100,Mountain//Mont
-12771791.0306246,6710362.38523255,266,Frozenman Coulée,Frozenman Coulée,,,100000,100,Mountain//Mont
